year,DonorCode,donornamee,col,colname,Row,rowname,RecipientCode,RecipientNameE,regionid,Regionnname,incomegrid,incomegrname,Amount,Defl,NatCur,src,share,odaGNI,currencyname
2019,20,Iceland,528,Total ODA,110,"Education, Health & Population",,,,,,,2.655190008,2.860112914,,dac5,,,
2018,3,Denmark,201,"Grants, Total",,,218,South Africa,10003,SouthSahara,10019,UMICs,1.752355622,1.752355622,,dac2a,,,
2018,4,France,201,"Grants, Total",,,244,Guinea-Bissau,10003,SouthSahara,10016,LDCs,1.04968414,1.04968414,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,615,Tajikistan,10009,SouthCentralAsia,10018,LMICs,33.02001037,33.02001037,,dac2a,,,
2018,10,Sweden,201,"Grants, Total",,,998,"Developing countries, unspecified",9998,DevCountriesUnspec,10024,UnallocatedIncome,1693.419361,1693.419361,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,232,Chad,10003,SouthSahara,10016,LDCs,31.37474486,31.37474486,,dac2a,,,
2018,11,Switzerland,201,"Grants, Total",,,347,Guatemala,10005,CaribbeanCentralAmerica,10018,LMICs,2.759581757,2.759581757,,dac2a,,,
2019,5,Germany,201,"Grants, Total",,,862,Papua New Guinea,10012,Oceania,10018,LMICs,3.08850003,3.194958871,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,247,Côte d'Ivoire,10003,SouthSahara,10018,LMICs,3.145996207,3.297683757,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,549,Jordan,10011,MiddleEast,10018,LMICs,16.3318004,17.11925551,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,64,Bosnia and Herzegovina,10010,Europe,10019,UMICs,5.990757507,6.520139429,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,613,Kazakhstan,10009,SouthCentralAsia,10019,UMICs,0.004720878,0.004720878,,dac2a,,,
2018,3,Denmark,201,"Grants, Total",,,136,Morocco,10002,NorthSahara,10018,LMICs,1.572851825,1.572851825,,dac2a,,,
2018,22,Luxembourg,201,"Grants, Total",,,248,Kenya,10003,SouthSahara,10018,LMICs,0.183457418,0.183457418,,dac2a,,,
2018,75,Hungary,201,"Grants, Total",,,730,China (People's Republic of),10008,FarEastAsia,10019,UMICs,4.118359605,4.118359605,,dac2a,,,
2019,76,Poland,201,"Grants, Total",,,55,Turkey,10010,Europe,10019,UMICs,13.44306899,13.88242626,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,880,Samoa,10012,Oceania,10019,UMICs,0.090333996,0.090550687,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,861,Palau,10012,Oceania,10019,UMICs,1.359341,1.335544023,,dac2a,,,
2019,4,France,201,"Grants, Total",,,612,Georgia,10009,SouthCentralAsia,10018,LMICs,4.234333988,4.399410106,,dac2a,,,
2019,68,Czech Republic,1160,Grant equivalents,1010,I. Official Development Assistance (ODA) (I.A + I.B),,,,,,,309.2,316.362977,7090.29612,dac1,30.999353,0.131326,* Czech koruna
2019,701,Japan,201,"Grants, Total",,,378,Dominica,10005,CaribbeanCentralAmerica,10019,UMICs,0.54194387,0.53206658,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,93,Moldova,10010,Europe,10018,LMICs,0.432926,0.461366077,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,283,Togo,10003,SouthSahara,10016,LDCs,1.674772,1.78479229,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,289,"South of Sahara, regional",10003,SouthSahara,10024,UnallocatedIncome,9.717422,10.35578566,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,665,Pakistan,10009,SouthCentralAsia,10018,LMICs,4.701417,5.010265764,,dac2a,,,
2018,9,Portugal,201,"Grants, Total",,,255,Mali,10003,SouthSahara,10016,LDCs,0.29360439,0.29360439,,dac2a,,,
2018,9,Portugal,201,"Grants, Total",,,366,Panama,10005,CaribbeanCentralAmerica,10019,UMICs,0.005310988,0.005310988,,dac2a,,,
2018,20001,Total DAC Countries,201,"Grants, Total",,,573,Syrian Arab Republic,10011,MiddleEast,10018,LMICs,2520.582468,2520.582468,,dac2a,,,
2019,61,Slovenia,,,,,10005,Top 5 recipients,,,,,57.88181877,,,dac2a,,,
2018,1,Austria,201,"Grants, Total",,,635,Myanmar,10009,SouthCentralAsia,10016,LDCs,1.728903753,1.728903753,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,136,Morocco,10002,NorthSahara,10018,LMICs,83.37564151,83.37564151,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,218,South Africa,10003,SouthSahara,10019,UMICs,69.6287926,69.6287926,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,446,Guyana,10006,SouthAmerica,10019,UMICs,0.002950549,0.002950549,,dac2a,,,
2018,7,Netherlands,201,"Grants, Total",,,555,Lebanon,10011,MiddleEast,10019,UMICs,82.32922185,82.32922185,,dac2a,,,
2018,8,Norway,201,"Grants, Total",,,88,States Ex-Yugoslavia unspecified,10010,Europe,10024,UnallocatedIncome,0.798572061,0.798572061,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,463,Venezuela,10006,SouthAmerica,10019,UMICs,0.00750028,0.007781906,,dac2a,,,
2019,7,Netherlands,201,"Grants, Total",,,431,Brazil,10006,SouthAmerica,10019,UMICs,0.322078148,0.330407836,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,580,Yemen,10011,MiddleEast,10016,LDCs,25.2311495,27.46073639,,dac2a,,,
2019,9,Portugal,201,"Grants, Total",,,278,Sudan,10003,SouthSahara,10016,LDCs,0.120324639,0.125512217,,dac2a,,,
2019,11,Switzerland,201,"Grants, Total",,,266,Rwanda,10003,SouthSahara,10016,LDCs,4.91555645,4.959830526,,dac2a,,,
2019,11,Switzerland,201,"Grants, Total",,,340,Dominican Republic,10005,CaribbeanCentralAmerica,10019,UMICs,0.098941437,0.099832596,,dac2a,,,
2019,12,United Kingdom,201,"Grants, Total",,,549,Jordan,10011,MiddleEast,10018,LMICs,167.8131163,171.8336948,,dac2a,,,
2019,21,Ireland,201,"Grants, Total",,,347,Guatemala,10005,CaribbeanCentralAmerica,10018,LMICs,1.518665622,1.586097328,,dac2a,,,
2019,68,Czech Republic,201,"Grants, Total",,,580,Yemen,10011,MiddleEast,10016,LDCs,0.864795583,0.884829576,,dac2a,,,
2019,75,Hungary,201,"Grants, Total",,,65,Montenegro,10010,Europe,10019,UMICs,0.653398626,0.673334332,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,765,Timor-Leste,10008,FarEastAsia,10016,LDCs,0.134327239,0.134649459,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,550,West Bank and Gaza Strip,10011,MiddleEast,10018,LMICs,70.123549,68.89594791,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,218,South Africa,10003,SouthSahara,10019,UMICs,41.9188009,41.9188009,,dac2a,,,
2018,12,United Kingdom,201,"Grants, Total",,,630,Bhutan,10009,SouthCentralAsia,10016,LDCs,0.339828995,0.339828995,,dac2a,,,
2018,12,United Kingdom,201,"Grants, Total",,,832,Fiji,10012,Oceania,10019,UMICs,0.335330753,0.335330753,,dac2a,,,
2018,68,Czech Republic,201,"Grants, Total",,,342,El Salvador,10005,CaribbeanCentralAmerica,10018,LMICs,0.026682712,0.026682712,,dac2a,,,
2018,76,Poland,201,"Grants, Total",,,617,Uzbekistan,10009,SouthCentralAsia,10018,LMICs,0.882530894,0.882530894,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,55,Turkey,10010,Europe,10019,UMICs,2.072818285,2.072818285,,dac2a,,,
2019,801,Australia,201,"Grants, Total",,,378,Dominica,10005,CaribbeanCentralAmerica,10019,UMICs,0.049577042,0.051609089,,dac2a,,,
2018,1,Austria,204,ODA Gross Loans,,,612,Georgia,10009,SouthCentralAsia,10018,LMICs,1.748094004,1.748094004,,dac2a,,,
2019,4,France,204,ODA Gross Loans,,,454,Peru,10006,SouthAmerica,10019,UMICs,39.18056644,40.70802644,,dac2a,,,
2019,4,France,204,ODA Gross Loans,,,666,Bangladesh,10009,SouthCentralAsia,10016,LDCs,84.94723162,88.25891163,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,437,Colombia,10006,SouthAmerica,10019,UMICs,11.673669,11.673669,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,0.832938149,0.832938149,,dac2a,,,
2019,701,Japan,201,"Grants, Total",,,259,Mozambique,10003,SouthSahara,10016,LDCs,37.98108243,37.28885182,,dac2a,,,
2019,820,New Zealand,201,"Grants, Total",,,218,South Africa,10003,SouthSahara,10019,UMICs,0.076377339,0.078563059,,dac2a,,,
2019,742,Korea,204,ODA Gross Loans,,,235,Democratic Republic of the Congo,10003,SouthSahara,10016,LDCs,29.5737,31.51647613,,dac2a,,,
2018,5,Germany,204,ODA Gross Loans,,,289,"South of Sahara, regional",10003,SouthSahara,10024,UnallocatedIncome,97.99501929,97.99501929,,dac2a,,,
2019,4,France,204,ODA Gross Loans,,,234,Congo,10003,SouthSahara,10018,LMICs,60.96190166,63.33851014,,dac2a,,,
2019,701,Japan,204,ODA Gross Loans,,,612,Georgia,10009,SouthCentralAsia,10018,LMICs,0.538004464,0.528198973,,dac2a,,,
2019,12,United Kingdom,528,Total ODA,400,Multisector,,,,,,,1208.149666,1222.694522,,dac5,,,
2018,10,Sweden,201,"Grants, Total",,,260,Niger,10003,SouthSahara,10016,LDCs,6.701700405,6.701700405,,dac2a,,,
2018,10,Sweden,201,"Grants, Total",,,745,Lao People's Democratic Republic,10008,FarEastAsia,10016,LDCs,0.144657707,0.144657707,,dac2a,,,
2018,12,United Kingdom,201,"Grants, Total",,,381,Grenada,10005,CaribbeanCentralAmerica,10019,UMICs,0.238566438,0.238566438,,dac2a,,,
2018,20001,Total DAC Countries,201,"Grants, Total",,,130,Algeria,10002,NorthSahara,10019,UMICs,188.4046732,188.4046732,,dac2a,,,
2018,20001,Total DAC Countries,204,ODA Gross Loans,,,241,Ghana,10003,SouthSahara,10018,LMICs,69.93038434,69.93038434,,dac2a,,,
2019,20001,Total DAC Countries,201,"Grants, Total",,,635,Myanmar,10009,SouthCentralAsia,10016,LDCs,959.2147214,971.207986,,dac2a,,,
2018,4,France,201,"Grants, Total",,,610,Armenia,10009,SouthCentralAsia,10018,LMICs,12.55388314,12.55388314,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,625,Afghanistan,10009,SouthCentralAsia,10016,LDCs,438.0534951,438.0534951,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,65,Montenegro,10010,Europe,10019,UMICs,0.039518116,0.039518116,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,228,Burundi,10003,SouthSahara,10016,LDCs,1.573469031,1.573469031,,dac2a,,,
2018,6,Italy,201,"Grants, Total",,,289,"South of Sahara, regional",10003,SouthSahara,10024,UnallocatedIncome,21.49964906,21.49964906,,dac2a,,,
2018,9,Portugal,201,"Grants, Total",,,431,Brazil,10006,SouthAmerica,10019,UMICs,3.85231323,3.85231323,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,85,Ukraine,10010,Europe,10018,LMICs,200.011991,196.5105291,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,614,Kyrgyzstan,10009,SouthCentralAsia,10018,LMICs,48.096307,47.25432054,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,66,North Macedonia,10010,Europe,10019,UMICs,1.793609213,1.860804617,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,266,Rwanda,10003,SouthSahara,10016,LDCs,41.83555513,43.40642812,,dac2a,,,
2019,5,Germany,201,"Grants, Total",,,238,Ethiopia,10003,SouthSahara,10016,LDCs,140.4731414,145.3151708,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,58.12021633,63.25609302,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,340,Dominican Republic,10005,CaribbeanCentralAmerica,10019,UMICs,58.98285,58.98285,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,549,Jordan,10011,MiddleEast,10018,LMICs,1141.32218,1141.32218,,dac2a,,,
2019,22,Luxembourg,201,"Grants, Total",,,244,Guinea-Bissau,10003,SouthSahara,10016,LDCs,0.001848629,0.001894978,,dac2a,,,
2019,50,Spain,201,"Grants, Total",,,285,Uganda,10003,SouthSahara,10016,LDCs,1.080238541,1.121423631,,dac2a,,,
2019,69,Slovak Republic,201,"Grants, Total",,,93,Moldova,10010,Europe,10018,LMICs,0.99628,1.023682896,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,832,Fiji,10012,Oceania,10019,UMICs,0.369472979,0.370359259,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,287,Burkina Faso,10003,SouthSahara,10016,LDCs,0.897547,0.897547,,dac2a,,,
2018,820,New Zealand,201,"Grants, Total",,,730,China (People's Republic of),10008,FarEastAsia,10019,UMICs,0.367223596,0.367223596,,dac2a,,,
2018,918,EU Institutions,201,"Grants, Total",,,349,Haiti,10005,CaribbeanCentralAmerica,10016,LDCs,134.7019356,134.7019356,,dac2a,,,
2018,20,Iceland,201,"Grants, Total",,,755,Philippines,10008,FarEastAsia,10018,LMICs,0.139843677,0.139843677,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,617,Uzbekistan,10009,SouthCentralAsia,10018,LMICs,0.002013076,0.002013076,,dac2a,,,
2018,302,United States,201,"Grants, Total",,,279,South Sudan,10003,SouthSahara,10016,LDCs,683.60337,683.60337,,dac2a,,,
2018,701,Japan,204,ODA Gross Loans,,,230,Cabo Verde,10003,SouthSahara,10018,LMICs,9.80871419,9.80871419,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,64,Bosnia and Herzegovina,10010,Europe,10019,UMICs,1.246733636,1.246733636,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,289,"South of Sahara, regional",10003,SouthSahara,10024,UnallocatedIncome,2.070977597,2.070977597,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,998,"Developing countries, unspecified",9998,DevCountriesUnspec,10024,UnallocatedIncome,2020.274187,2020.274187,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,272,Sierra Leone,10003,SouthSahara,10016,LDCs,0.712872,0.712872,,dac2a,,,
2018,820,New Zealand,201,"Grants, Total",,,440,Ecuador,10006,SouthAmerica,10019,UMICs,0.132429552,0.132429552,,dac2a,,,
2018,10,Sweden,201,"Grants, Total",,,655,Maldives,10009,SouthCentralAsia,10019,UMICs,0.02663859,0.02663859,,dac2a,,,
2019,75,Hungary,,,,,10020,Top 20 recipients,,,,,71.79190753,,,dac2a,,,
2019,20,Iceland,528,Total ODA,600,Debt Relief,,,,,,,0.438811394,0.458020076,,dac5,,,
2019,12,United Kingdom,201,"Grants, Total",,,336,Costa Rica,10005,CaribbeanCentralAmerica,10019,UMICs,1.524449285,1.560973058,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,440,Ecuador,10006,SouthAmerica,10019,UMICs,9.019217987,9.019217987,,dac2a,,,
2018,2,Belgium,201,"Grants, Total",,,862,Papua New Guinea,10012,Oceania,10018,LMICs,0.00118022,0.00118022,,dac2a,,,
2018,3,Denmark,201,"Grants, Total",,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,47.768787,47.768787,,dac2a,,,
2018,4,France,201,"Grants, Total",,,65,Montenegro,10010,Europe,10019,UMICs,0.461334274,0.461334274,,dac2a,,,
2018,9,Portugal,201,"Grants, Total",,,730,China (People's Republic of),10008,FarEastAsia,10019,UMICs,1.25575475,1.25575475,,dac2a,,,
2019,302,United States,201,"Grants, Total",,,860,Micronesia,10012,Oceania,10018,LMICs,57.779726,56.76821909,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,738,Indonesia,10008,FarEastAsia,10018,LMICs,3.583812986,3.718076213,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,252,Madagascar,10003,SouthSahara,10016,LDCs,2.215098298,2.298272481,,dac2a,,,
2019,4,France,201,"Grants, Total",,,238,Ethiopia,10003,SouthSahara,10016,LDCs,10.93279399,11.35901054,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,789,"Far East Asia, regional",10008,FarEastAsia,10024,UnallocatedIncome,0.003022501,0.003168234,,dac2a,,,
2019,8,Norway,201,"Grants, Total",,,665,Pakistan,10009,SouthCentralAsia,10018,LMICs,7.453701623,8.11235871,,dac2a,,,
2018,18,Finland,201,"Grants, Total",,,274,Djibouti,10003,SouthSahara,10016,LDCs,0.008497581,0.008497581,,dac2a,,,
2018,68,Czech Republic,201,"Grants, Total",,,555,Lebanon,10011,MiddleEast,10019,UMICs,0.56689516,0.56689516,,dac2a,,,
2018,75,Hungary,201,"Grants, Total",,,55,Turkey,10010,Europe,10019,UMICs,4.811625583,4.811625583,,dac2a,,,
2018,301,Canada,201,"Grants, Total",,,63,Serbia,10010,Europe,10019,UMICs,0.128388844,0.128388844,,dac2a,,,
2019,69,Slovak Republic,201,"Grants, Total",,,610,Armenia,10009,SouthCentralAsia,10018,LMICs,0.01772,0.018207392,,dac2a,,,
2019,75,Hungary,201,"Grants, Total",,,288,Zambia,10003,SouthSahara,10016,LDCs,0.004258015,0.004387931,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,273,Somalia,10003,SouthSahara,10016,LDCs,1.954816,2.083233136,,dac2a,,,
2019,742,Korea,201,"Grants, Total",,,282,Tanzania,10003,SouthSahara,10016,LDCs,24.647511,26.26667248,,dac2a,,,
2018,4,France,204,ODA Gross Loans,,,342,El Salvador,10005,CaribbeanCentralAmerica,10018,LMICs,10.38829222,10.38829222,,dac2a,,,
2018,701,Japan,204,ODA Gross Loans,,,351,Honduras,10005,CaribbeanCentralAmerica,10018,LMICs,0.72571825,0.72571825,,dac2a,,,
2018,918,EU Institutions,204,ODA Gross Loans,,,798,"Asia, regional",10007,Asia,10024,UnallocatedIncome,42.90688068,42.90688068,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,655,Maldives,10009,SouthCentralAsia,10019,UMICs,4.1060348,4.1060348,,dac2a,,,
2019,742,Korea,528,Total ODA,140,Other Social Infrastructure,,,,,,,179.2019783,189.7095096,,dac5,,,
2019,801,Australia,528,Total ODA,150,Other Social Infrastructure,,,,,,,454.3369709,462.9053215,,dac5,,,
2019,20001,Total DAC Countries,528,Total ODA,130,"Education, Health & Population",,,,,,,6650.709274,6636.040887,,dac5,,,
2019,10,Sweden,201,"Grants, Total",,,257,Mauritius,10003,SouthSahara,10019,UMICs,0.003595639,0.003805396,,dac2a,,,
2019,11,Switzerland,201,"Grants, Total",,,338,Cuba,10005,CaribbeanCentralAmerica,10019,UMICs,13.40660797,13.52736036,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,243,Guinea,10003,SouthSahara,10016,LDCs,18.55776176,18.55776176,,dac2a,,,
2018,5,Germany,201,"Grants, Total",,,257,Mauritius,10003,SouthSahara,10019,UMICs,1.26044588,1.26044588,,dac2a,,,
2019,20001,Total DAC Countries,204,ODA Gross Loans,,,431,Brazil,10006,SouthAmerica,10019,UMICs,249.4871563,256.2241849,,dac2a,,,
2019,40,Greece,528,Total ODA,160,Other Social Infrastructure,,,,,,,0.041419456,0.043328619,,dac5,,,
2019,302,United States,201,"Grants, Total",,,342,El Salvador,10005,CaribbeanCentralAmerica,10018,LMICs,196.819304,193.3737341,,dac2a,,,
2019,1,Austria,201,"Grants, Total",,,285,Uganda,10003,SouthSahara,10016,LDCs,14.9821438,15.54343173,,dac2a,,,
2019,2,Belgium,201,"Grants, Total",,,283,Togo,10003,SouthSahara,10016,LDCs,0.619658122,0.642925512,,dac2a,,,
2019,4,France,201,"Grants, Total",,,352,Belize,10005,CaribbeanCentralAmerica,10019,UMICs,0.02350834,0.024424816,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,340,Dominican Republic,10005,CaribbeanCentralAmerica,10019,UMICs,0.103243846,0.108221858,,dac2a,,,
2019,6,Italy,201,"Grants, Total",,,611,Azerbaijan,10009,SouthCentralAsia,10019,UMICs,0.769458222,0.806558468,,dac2a,,,
2018,68,Czech Republic,201,"Grants, Total",,,550,West Bank and Gaza Strip,10011,MiddleEast,10018,LMICs,0.416736253,0.416736253,,dac2a,,,
2018,68,Czech Republic,201,"Grants, Total",,,640,Sri Lanka,10009,SouthCentralAsia,10018,LMICs,0.116808467,0.116808467,,dac2a,,,
2018,75,Hungary,201,"Grants, Total",,,611,Azerbaijan,10009,SouthCentralAsia,10019,UMICs,3.28345508,3.28345508,,dac2a,,,
2019,18,Finland,201,"Grants, Total",,,589,"Middle East, regional",10011,MiddleEast,10024,UnallocatedIncome,3.36339419,3.473714894,,dac2a,,,
2019,75,Hungary,201,"Grants, Total",,,236,Benin,10003,SouthSahara,10016,LDCs,0.000818922,0.000843908,,dac2a,,,
2019,301,Canada,201,"Grants, Total",,,298,"Africa, regional",10001,Africa,10024,UnallocatedIncome,242.8481338,243.4306707,,dac2a,,,
2018,701,Japan,201,"Grants, Total",,,745,Lao People's Democratic Republic,10008,FarEastAsia,10016,LDCs,42.60589257,42.60589257,,dac2a,,,
2018,742,Korea,201,"Grants, Total",,,85,Ukraine,10010,Europe,10018,LMICs,0.65142,0.65142,,dac2a,,,
2018,801,Australia,201,"Grants, Total",,,457,Suriname,10006,SouthAmerica,10019,UMICs,0.050463831,0.050463831,,dac2a,,,
